"ID";"Imagen";"Nombre";"Referencia";"Categoría";"Precio base";"Precio final";"Cantidad";"Estado";
"33063";"http://pedregosa.local/img/p/3/9/0/7/3907.jpg";"BROTHER MULTIFUNCIÓN TINTA CON IMPRESIÓN HASTA A3 MFC-J5330DW";"MFCJ5330DW";"IMPRESORAS";"114.000000";"137.94";"1000";"1";
"6919";"http://pedregosa.local/img/p/5/6/4/0/5640.jpg";"Cartucho de tóner original LaserJet HP 641A negro para Laserjet series 4600, 4610 y 4650";"C9720A";"TONER IMPRESORA";"175.200000";"211.99";"1000";"1";
"11553";"http://pedregosa.local/img/p/5/9/7/4/5974.jpg";"Epson GF Stylus Photo 7800/9800 Cartucho Magenta";"C13T603B00";"";"77.410000";"93.67";"1000";"1";
"19090";"http://pedregosa.local/img/p/4/5/0/4/4504.jpg";"Equipo multifuncion EPSON Workforce WF-2630WF";"C11CE36402";"IMPRESORAS";"46.920000";"56.77";"990";"1";
"3483";"http://pedregosa.local/img/p/7/4/5/6/7456.jpg";"Toner OKI C5510MFP/C5540MFP/C5250/C5450 amarillo (3k)";"42804545";"";"113.780000";"137.67";"1000";"1";
"15405";"http://pedregosa.local/img/p/6/3/1/7/6317.jpg";"RICOH GXE5550N/GXe7700N Cartucho cian GC31CH";"405702";"";"47.730000";"57.75";"1000";"1";
"18479";"http://pedregosa.local/img/p/6/8/7/8/6878.jpg";"KYOCERA-MITA   KM-P4850/4845 / KM-4850w Revelador";"370AD100";"";"177.830000";"215.17";"1000";"1";
"33181";"http://pedregosa.local/img/p/7/3/7/5/7375.jpg";"OKI Toner-C532/MC573-Cyan-1.5K";"46490403";"";"49.320000";"59.68";"1000";"1";
"200154";"http://pedregosa.local/img/p/8/9/7/9/8979.jpg";"Cartucho original HP PageWide 981Y";"";"TINTA IMPRESORA";"0.000000";"152.84";"1000";"1";
"11669";"http://pedregosa.local/img/p/8/5/1/2/8512.jpg";"Brother Montura de 12mmx12mm negro (Pack 6)";"PR-1212B";"";"19.840000";"24.01";"1000";"1";
"12806";"http://pedregosa.local/img/p/7/0/1/5/7015.jpg";"LEXMARK X-463/464/466 Toner extra alto rendimiento retornable";"0X463X11G";"";"235.930000";"285.48";"1000";"1";
"19355";"http://pedregosa.local/img/p/7/9/3/4/7934.jpg";"SAMSUNG TAMBOR LASER CLP 320/325 CLX 3180/3185  NEGRO 24.000 PAGINAS";"CLT-R407";"";"93.970000";"113.7";"1000";"1";
"30520";"http://pedregosa.local/img/p/7/3/8/5/7385.jpg";"OKI MC873 Toner Amarillo";"45862814";"";"119.490000";"144.58";"1000";"1";
"5718";"http://pedregosa.local/img/p/8/4/6/8/8468.jpg";"KYOCERA-MITA TONER COPIADORA CIAN TASKALFA 200CI/300CI TK865C 12.000 PAGINAS";"1T02JZCEU0";"";"80.550000";"97.47";"1000";"1";
"200213";"http://pedregosa.local/img/p/9/2/6/3/9263.jpg";"Cartucho de tóner Original HP LaserJet 205A negro";"CF530A";"TONER IMPRESORA";"39.850000";"48.22";"100";"1";
